Entity,Code,Year,production(million tonnes),Cumulative_production
World,OWID_WRL,1950,2000000,2000000
World,OWID_WRL,1951,2000000,4000000
World,OWID_WRL,1952,2000000,6000000
World,OWID_WRL,1953,3000000,9000000
World,OWID_WRL,1954,3000000,12000000
World,OWID_WRL,1955,4000000,16000000
World,OWID_WRL,1956,5000000,21000000
World,OWID_WRL,1957,5000000,26000000
World,OWID_WRL,1958,6000000,32000000
World,OWID_WRL,1959,7000000,39000000
World,OWID_WRL,1960,8000000,47000000
World,OWID_WRL,1961,9000000,56000000
World,OWID_WRL,1962,11000000,67000000
World,OWID_WRL,1963,13000000,80000000
World,OWID_WRL,1964,15000000,95000000
World,OWID_WRL,1965,17000000,112000000
World,OWID_WRL,1966,20000000,132000000
World,OWID_WRL,1967,23000000,155000000
World,OWID_WRL,1968,27000000,182000000
World,OWID_WRL,1969,32000000,214000000
World,OWID_WRL,1970,35000000,249000000
World,OWID_WRL,1971,38000000,287000000
World,OWID_WRL,1972,44000000,331000000
World,OWID_WRL,1973,51000000,382000000
World,OWID_WRL,1974,52000000,434000000
World,OWID_WRL,1975,46000000,480000000
World,OWID_WRL,1976,54000000,534000000
World,OWID_WRL,1977,59000000,593000000
World,OWID_WRL,1978,64000000,657000000
World,OWID_WRL,1979,71000000,728000000
World,OWID_WRL,1980,70000000,798000000
World,OWID_WRL,1981,72000000,870000000
World,OWID_WRL,1982,73000000,943000000
World,OWID_WRL,1983,80000000,1023000000
World,OWID_WRL,1984,86000000,1109000000
World,OWID_WRL,1985,90000000,1199000000
World,OWID_WRL,1986,96000000,1295000000
World,OWID_WRL,1987,104000000,1399000000
World,OWID_WRL,1988,110000000,1509000000
World,OWID_WRL,1989,114000000,1623000000
World,OWID_WRL,1990,120000000,1743000000
World,OWID_WRL,1991,124000000,1867000000
World,OWID_WRL,1992,132000000,1999000000
World,OWID_WRL,1993,137000000,2136000000
World,OWID_WRL,1994,151000000,2287000000
World,OWID_WRL,1995,156000000,2443000000
World,OWID_WRL,1996,168000000,2611000000
World,OWID_WRL,1997,180000000,2791000000
World,OWID_WRL,1998,188000000,2979000000
World,OWID_WRL,1999,202000000,3181000000
World,OWID_WRL,2000,213000000,3394000000
World,OWID_WRL,2001,218000000,3612000000
World,OWID_WRL,2002,231000000,3843000000
World,OWID_WRL,2003,241000000,4084000000
World,OWID_WRL,2004,256000000,4340000000
World,OWID_WRL,2005,263000000,4603000000
World,OWID_WRL,2006,280000000,4883000000
World,OWID_WRL,2007,295000000,5178000000
World,OWID_WRL,2008,281000000,5459000000
World,OWID_WRL,2009,288000000,5747000000
World,OWID_WRL,2010,313000000,6060000000
World,OWID_WRL,2011,325000000,6385000000
World,OWID_WRL,2012,338000000,6723000000
World,OWID_WRL,2013,352000000,7075000000
World,OWID_WRL,2014,367000000,7442000000
World,OWID_WRL,2015,381000000,7823000000
,,,,8223050000
,,,,8643102500
,,,,9084157625
,,,,9543903495
